# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.17318489   0.02735986   0.03273996   0.02544889   0.01260869   0.03134348   0.00619593   0.02607731   0.02774940
  2.36215749  -0.11331648  -0.10996127  -0.11350758  -0.12008938  -0.10910134  -0.12434127  -0.11511352  -0.11294164
  2.55113008  -0.17741829  -0.17544853  -0.17722352  -0.18046849  -0.17405206  -0.18249705  -0.17927413  -0.17708755
  2.74010268  -0.19819635  -0.19717840  -0.19802363  -0.19948993  -0.19574517  -0.19977290  -0.19976187  -0.19794278
  2.92907528  -0.19499181  -0.19463167  -0.19494036  -0.19546220  -0.19328664  -0.19452142  -0.19619719  -0.19482644
