# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.21097941   0.12027313   0.12424573   0.11363253   0.09867188   0.12047157   0.10155670   0.12115511   0.12007835
  2.39995201  -0.00634293  -0.00386603  -0.01047723  -0.01874582  -0.00549035  -0.01640489  -0.00449444  -0.00617756
  2.58892460  -0.06880572  -0.06733575  -0.07135613  -0.07585792  -0.06786494  -0.07440999  -0.06692048  -0.06855215
  2.77789720  -0.09519540  -0.09440529  -0.09674990  -0.09916432  -0.09429872  -0.09801040  -0.09360415  -0.09500430
  2.96686980  -0.10150526  -0.10117819  -0.10245706  -0.10368081  -0.10068207  -0.10231006  -0.10025578  -0.10142073
  3.15584240  -0.09674622  -0.09673887  -0.09731951  -0.09783767  -0.09599286  -0.09613251  -0.09579809  -0.09675725
