# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  3.02356158   0.01860617   0.02163799   0.01815783   0.01081532   0.01983727   0.00326701   0.01953961   0.01782341
  3.21253418  -0.04241605  -0.04045363  -0.04254835  -0.04705748  -0.04139074  -0.05209949  -0.04103060  -0.04312898
  3.40150678  -0.07534343  -0.07414907  -0.07530300  -0.07804817  -0.07455331  -0.08106162  -0.07385140  -0.07599389
  3.59047938  -0.09017544  -0.08953601  -0.09003947  -0.09167849  -0.08958011  -0.09310069  -0.08873855  -0.09076343
  3.77945198  -0.09347186  -0.09322931  -0.09327709  -0.09423624  -0.09303087  -0.09443836  -0.09215623  -0.09400105
  3.96842458  -0.08962053  -0.08966095  -0.08940371  -0.08993290  -0.08929714  -0.08924569  -0.08845558  -0.09009460
