# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.92907528  -0.04740660  -0.04093873  -0.04480475  -0.05333059  -0.04827389  -0.04619020  -0.04650992  -0.04674144
  3.11804788  -0.12616404  -0.12176515  -0.12305505  -0.12820363  -0.12546213  -0.12238989  -0.12418325  -0.12605379
  3.30702048  -0.16662135  -0.16380268  -0.16377695  -0.16664340  -0.16540862  -0.16191376  -0.16447151  -0.16687859
  3.49599308  -0.18192376  -0.18029944  -0.17961223  -0.18095725  -0.18068898  -0.17710593  -0.18000177  -0.18236108
  3.68496568  -0.18112262  -0.18039866  -0.17937703  -0.17972983  -0.18006424  -0.17658776  -0.17956445  -0.18171061
