#            Qty.              AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
                IP(I)  0.38624989   0.38583095   0.38687831   0.38675704   0.38706205   0.38605145   0.38662106   0.38631237   
               IP(II)  0.72602662   0.72472202   0.72560033   0.72601559   0.72609644   0.72621037   0.72532838   0.72542025   
              IP(III)  1.10735946   1.10487153   1.10442686   1.10539337   1.10544114   1.10780412   1.10416227   1.10545952   
               IP(IV)  1.89003145   1.88074490   1.87327745   1.88199438   1.87807323   1.88249417   1.87773514   1.88828219   
                IP(V)  2.38936998   2.37319294   2.35565617   2.37531338   2.36486922   2.37281810   2.36478837   2.38454113   
                   EA  0.02573554   0.02593766   0.02535702   0.02478006   0.02536070   0.02444931   0.02514387   0.02586049   
