# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.78734583  -0.00112070   0.01377579  -0.02980232   0.00565089  -0.03298821  -0.01486946  -0.00290771  -0.00102911
  3.25977733  -0.07912502  -0.07568564  -0.08499292  -0.07705421  -0.08305530  -0.08064741  -0.07866934  -0.07894481
  3.73220883  -0.09165757  -0.09309250  -0.09434618  -0.09227854  -0.09212344  -0.09232091  -0.09099566  -0.09143852
  4.20464032  -0.08306658  -0.08660908  -0.08638035  -0.08541693  -0.08474892  -0.08479968  -0.08289391  -0.08285126
  4.67707182  -0.06861489  -0.07323273  -0.07290406  -0.07213337  -0.07160807  -0.07140439  -0.06903164  -0.06841795
  5.14950332  -0.05345753  -0.05870078  -0.05851343  -0.05777427  -0.05732323  -0.05703527  -0.05437776  -0.05327891
  5.62193482  -0.03926864  -0.04490489  -0.04487026  -0.04413278  -0.04369666  -0.04340114  -0.04057213  -0.03910946
