# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.17318489  -0.00552710   0.00407917  -0.02002837  -0.03189472  -0.01905819  -0.04089095  -0.02225538  -0.00689049
  2.36215749  -0.18118142  -0.17495977  -0.18578244  -0.19240099  -0.18042806  -0.20084598  -0.18798372  -0.18205973
  2.55113008  -0.26739529  -0.26352559  -0.26839487  -0.27201836  -0.26207767  -0.27820694  -0.27017722  -0.26794286
  2.74010268  -0.30073059  -0.29849255  -0.30068649  -0.30256070  -0.29503077  -0.30637528  -0.30201681  -0.30106501
  2.92907528  -0.30339124  -0.30228876  -0.30325526  -0.30410417  -0.29874612  -0.30594531  -0.30422177  -0.30359703
  3.11804788  -0.28889364  -0.28858494  -0.28896346  -0.28920233  -0.28553842  -0.28956982  -0.28966170  -0.28903696
