# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  1.70075339   0.01744857   0.01857677   0.01774624   0.01181490   0.01823133   0.01461887   0.01519216   0.01708475
  1.88972599  -0.07899263  -0.07840464  -0.07874641  -0.08234784  -0.07848917  -0.08002896  -0.08008409  -0.07923150
  2.07869859  -0.12654623  -0.12631839  -0.12639556  -0.12861154  -0.12631104  -0.12665648  -0.12699825  -0.12666015
  2.26767119  -0.14597926  -0.14599029  -0.14589842  -0.14730591  -0.14593516  -0.14561545  -0.14607849  -0.14598294
  2.45664379  -0.14939695  -0.14956232  -0.14934918  -0.15029363  -0.14946310  -0.14880529  -0.14930140  -0.14948515
  2.64561638  -0.14392498  -0.14418957  -0.14388088  -0.14456442  -0.14405360  -0.14324144  -0.14372653  -0.14376328
