#            Qty.             AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
            IP(I)     0.29910994   0.29891517   0.29980818   0.29966853   0.29978246   0.30270035   0.29971631   0.29890782
           IP(II)     0.59906512   0.59788914   0.59871233   0.59858370   0.59880052   0.60376903   0.59814271   0.59829338
          IP(III)     1.23033366   1.22245828   1.21994463   1.22331821   1.22245828   1.22759951   1.21951833   1.23011316
           IP(IV)     1.65858801   1.64382948   1.63683242   1.64562285   1.64137831   1.65317116   1.63600188   1.66010208
               EA     0.05118443   0.05154090   0.05195617   0.05171362   0.05189369   0.05271688   0.05030980   0.05116973
