# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.26767119  -0.07165379  -0.06626267  -0.07277832  -0.08060960  -0.06854848  -0.07532873  -0.07611149  -0.07125690
  2.45664379  -0.17648854  -0.17317742  -0.17564698  -0.17939173  -0.17190222  -0.17558450  -0.17780049  -0.17636359
  2.64561638  -0.21874656  -0.21685765  -0.21757426  -0.21914346  -0.21450569  -0.21605651  -0.21886416  -0.21875024
  2.83458898  -0.22552681  -0.22462278  -0.22453458  -0.22494250  -0.22205768  -0.22228552  -0.22525486  -0.22560766
  3.02356158  -0.21293282  -0.21271600  -0.21222724  -0.21202144  -0.21021705  -0.20969521  -0.21260208  -0.21307247
