# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  3.30702048   0.00383663   0.00914323   0.00383295  -0.00101061   0.00180072  -0.01004726   0.00421515   0.00348751
  3.54323623  -0.06291849  -0.05948242  -0.06238562  -0.06553136  -0.06373064  -0.07259458  -0.06236357  -0.06321248
  3.77945198  -0.09927090  -0.09720191  -0.09876008  -0.10074454  -0.09964574  -0.10596662  -0.09894015  -0.09948037
  4.01566773  -0.11590731  -0.11481218  -0.11560229  -0.11680032  -0.11619763  -0.12044952  -0.11589261  -0.11611678
  4.25188347  -0.12000118  -0.11958591  -0.11991666  -0.12058549  -0.12032825  -0.12295582  -0.12026578  -0.12042380
  4.48809922  -0.11631155  -0.11635932  -0.11640342  -0.11671579  -0.11669007  -0.11807919  -0.11677459  -0.11670844
