# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.30546571   0.05016280   0.06027988   0.03332794   0.02634190   0.03692570   0.02252732   0.03489347   0.04962920
  2.49443830  -0.08518121  -0.07893751  -0.09104273  -0.09646325  -0.08114982  -0.10008306  -0.09167114  -0.08561559
  2.68341090  -0.15562963  -0.15202820  -0.15721720  -0.16112365  -0.14547212  -0.16371448  -0.15857325  -0.15593649
  2.87238350  -0.18661665  -0.18480123  -0.18692534  -0.18955659  -0.17591157  -0.19103391  -0.18830711  -0.18680848
  3.06135610  -0.19434502  -0.19368721  -0.19455082  -0.19621189  -0.18538922  -0.19674843  -0.19569372  -0.19355271
