# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  3.96842458   0.00263493   0.00563734   0.00300609   0.00089668   0.00260185  -0.00196976   0.00195874   0.00252027
  4.34636977  -0.03353007  -0.03208949  -0.03352272  -0.03503311  -0.03355579  -0.03683750  -0.03445982  -0.03365575
  4.72431497  -0.04874795  -0.04827389  -0.04909340  -0.05015545  -0.04897947  -0.05116238  -0.04987248  -0.04887511
  5.10226017  -0.05242288  -0.05250741  -0.05298882  -0.05374218  -0.05283815  -0.05417583  -0.05361724  -0.05254599
  5.48020537  -0.05001213  -0.05038697  -0.05066259  -0.05121016  -0.05051927  -0.05124323  -0.05116606  -0.05013009
