#            Qty.           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
            IP(I)   0.28076469   0.27716326   0.27751605   0.27809302   0.27821796   0.27849726   0.27864058   0.28074264
           IP(II)   0.55229428   0.54179133   0.54125846   0.54164433   0.54233889   0.54216250   0.54476067   0.55229060
