#      Qty.                  AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
      IP(I)          0.47549191   0.47484879   0.47519056   0.47403663   0.47472017   0.48133872   0.47392271   0.47571240       
     IP(II)          0.87209408   0.87062043   0.86970905   0.86893364   0.86936361   0.88015688   0.86904389   0.87195443       
    IP(III)          1.45887391   1.45661750   1.45920465   1.45920833   1.45841087   1.47643640   1.45973017   1.45840352       
     IP(IV)          1.95436846   1.95091770   1.95140279   1.95136972   1.95086993   1.97281661   1.95318881   1.95261552       
      IP(V)          2.48462786   2.47974755   2.47604689   2.47554710   2.47624902   2.50111727   2.47962260   2.48086840       
     IP(VI)          3.56086433   3.54932872   3.52435389   3.55765611   3.53592992   3.56197048   3.55611632   3.56090108       
    IP(VII)          4.19706094   4.17860177   4.14007380   4.18737750   4.15700420   4.18031429   4.18144617   4.19782533       
         EA          0.13306923   0.13304351   0.13377849   0.13250697   0.13335955   0.13593935   0.13239305   0.13337425       
