# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.83458898   0.01399414   0.01987402   0.01305335   0.00386603   0.01278508  -0.01249109   0.01662539   0.01359724
  3.02356158  -0.08300566  -0.07905143  -0.08320778  -0.08831225  -0.08343562  -0.10063430  -0.08114614  -0.08352750
  3.21253418  -0.13496182  -0.13241877  -0.13500960  -0.13755265  -0.13525949  -0.14636146  -0.13382994  -0.13553879
  3.40150678  -0.15814696  -0.15663289  -0.15823148  -0.15919064  -0.15851445  -0.16512565  -0.15752957  -0.15873127
  3.59047938  -0.16324409  -0.16246868  -0.16339476  -0.16340211  -0.16371080  -0.16707337  -0.16295377  -0.16380268
  3.77945198  -0.15724660  -0.15700406  -0.15745240  -0.15690116  -0.15778682  -0.15882682  -0.15716208  -0.15776477
