#          Qty.           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
          IP(I)   0.18864888   0.18418384   0.18186129   0.18214426   0.18226185   0.18212956   0.18620505   0.18861581
             EA   0.02010187   0.02003940   0.02012024   0.02021212   0.02019374   0.02019742   0.02038484   0.02011289
