# UCCSD(T) Binding Energies for all core approximations. All quantities in a.u.
#          R           AE           UC        SBKJC          BFD        TN-DF          STU    ccECP[Ne]    ccECP[He]
  2.64561638  -0.00322041   0.00462438  -0.01238076  -0.02571569  -0.01308619  -0.01544524  -0.00744189  -0.00319261
  2.83458898  -0.05845993  -0.05393974  -0.06150982  -0.07188924  -0.06117187  -0.06469016  -0.05865808  -0.05838111
  3.02356158  -0.08604604  -0.08390938  -0.08674098  -0.09434590  -0.08600321  -0.08914714  -0.08487404  -0.08592716
  3.21253418  -0.09606214  -0.09564832  -0.09619805  -0.10151740  -0.09531609  -0.09761676  -0.09471027  -0.09591793
  3.40150678  -0.09528710  -0.09613162  -0.09577159  -0.09931433  -0.09483222  -0.09630888  -0.09440761  -0.09514527
  3.59047938  -0.08858977  -0.09037859  -0.08984201  -0.09207853  -0.08888498  -0.08973177  -0.08850577  -0.08846917
  3.77945198  -0.07916580  -0.08172911  -0.08126813  -0.08260039  -0.08031601  -0.08072421  -0.07992462  -0.07907772
